Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Fee Coin
2026-08-03 09:12:04,BTCUSDT,BUY,61240.50,0.05000000,3062.03,3.06,USDT
2026-08-03 09:15:38,BTCUSDT,BUY,61255.20,0.05000000,3062.76,3.06,USDT
2026-08-03 09:41:22,BTCUSDT,SELL,62105.00,0.10000000,6210.50,6.21,USDT
2026-08-03 14:30:11,ETHUSDT,BUY,3288.10,1.20000000,3945.72,3.95,USDT
2026-08-03 15:02:10,ETHUSDT,SELL,3241.75,1.20000000,3890.10,3.89,USDT
2026-08-04 10:44:52,SOLUSDT,SELL,178.42,9.00000000,1605.78,1.61,USDT
2026-08-04 11:18:47,SOLUSDT,BUY,171.90,9.00000000,1547.10,1.55,USDT
2026-08-05 08:20:16,BTCUSDT,SELL,62480.00,0.04000000,2499.20,2.50,USDT
2026-08-05 08:55:03,BTCUSDT,BUY,62910.25,0.04000000,2516.41,2.52,USDT
2026-08-06 12:59:07,XRPUSDT,BUY,0.54120,2100.00000000,1136.52,1.14,USDT
2026-08-06 13:27:31,XRPUSDT,SELL,0.55890,2100.00000000,1173.69,1.17,USDT
2026-08-07 09:48:33,ETHUSDT,BUY,3195.60,0.90000000,2876.04,2.88,USDT
2026-08-07 10:12:55,ETHUSDT,SELL,3277.40,0.90000000,2949.66,2.95,USDT
2026-08-10 08:31:20,SOLUSDT,BUY,169.80,6.25000000,1061.25,1.06,USDT
2026-08-10 09:04:19,SOLUSDT,SELL,166.35,6.25000000,1039.69,1.04,USDT
2026-08-11 14:02:45,BTCUSDT,BUY,60890.75,0.06000000,3653.45,3.65,USDT
2026-08-11 14:39:08,BTCUSDT,SELL,61755.20,0.06000000,3705.31,3.71,USDT
2026-08-12 07:22:09,ETHUSDT,SELL,3310.00,1.55000000,5130.50,5.13,USDT
2026-08-12 07:51:44,ETHUSDT,BUY,3268.55,1.55000000,5066.25,5.07,USDT
2026-08-13 15:55:41,SOLUSDT,BUY,164.15,11.00000000,1805.65,1.81,USDT
2026-08-13 16:20:12,SOLUSDT,SELL,170.28,11.00000000,1873.08,1.87,USDT
