Contracts,Closing Direction,Qty,Avg Entry Price,Avg Exit Price,Closed P&L,Fee,Trade Time
BTCUSDT,Close Long,0.15,61240.50,62105.00,129.68,3.72,2026-08-03 09:41:22
ETHUSDT,Close Long,2.40,3288.10,3241.75,-111.24,2.63,2026-08-03 15:02:10
SOLUSDT,Close Short,18.00,178.42,171.90,117.36,1.94,2026-08-04 11:18:47
BTCUSDT,Close Short,0.08,62480.00,62910.25,-34.42,1.99,2026-08-05 08:55:03
XRPUSDT,Close Long,4200.00,0.5412,0.5589,74.34,1.41,2026-08-06 13:27:31
ETHUSDT,Close Long,1.80,3195.60,3277.40,147.24,2.10,2026-08-07 10:12:55
SOLUSDT,Close Long,12.50,169.80,166.35,-43.13,1.35,2026-08-10 09:04:19
BTCUSDT,Close Long,0.12,60890.75,61755.20,103.73,2.96,2026-08-11 14:39:08
ETHUSDT,Close Short,3.10,3310.00,3268.55,128.50,2.71,2026-08-12 07:51:44
SOLUSDT,Close Long,22.00,164.15,170.28,134.86,2.37,2026-08-13 16:20:12
XRPUSDT,Close Short,3800.00,0.5701,0.5798,-36.86,1.29,2026-08-14 12:08:56
BTCUSDT,Close Long,0.10,62015.00,61402.30,-61.27,2.47,2026-08-17 09:33:27
ETHUSDT,Close Long,2.75,3241.20,3318.90,213.68,3.05,2026-08-18 11:45:02
SOLUSDT,Close Short,15.00,175.60,169.12,97.20,1.78,2026-08-19 08:27:39
BTCUSDT,Close Long,0.18,61330.00,62244.80,164.66,4.17,2026-08-20 15:14:50
XRPUSDT,Close Long,5100.00,0.5488,0.5401,-44.37,1.68,2026-08-21 10:56:18
ETHUSDT,Close Short,1.95,3352.40,3389.15,-71.66,2.29,2026-08-24 13:41:07
SOLUSDT,Close Long,20.00,167.90,174.55,133.00,2.29,2026-08-25 09:19:33
BTCUSDT,Close Short,0.14,62890.00,62108.45,109.42,3.50,2026-08-26 14:02:44
ETHUSDT,Close Long,2.20,3280.75,3346.10,143.77,2.54,2026-08-27 11:37:21
XRPUSDT,Close Long,4500.00,0.5352,0.5504,68.40,1.51,2026-08-28 08:44:09
SOLUSDT,Close Short,16.50,172.30,176.88,-75.57,1.97,2026-08-31 12:15:36
BTCUSDT,Close Long,0.11,61560.25,62390.00,91.27,2.74,2026-09-01 10:08:52
ETHUSDT,Close Long,3.00,3225.40,3298.65,219.75,3.31,2026-09-02 15:50:14
