Ticket,Symbol,Type,Volume,Open Time,Open Price,Close Time,Close Price,Commission,Swap,Profit
50184221,EURUSD,Buy,1.00,2026.08.03 08:14:02,1.08420,2026.08.03 12:47:31,1.08965,-7.00,-1.20,54.50
50184307,GBPUSD,Sell,0.50,2026.08.03 13:22:19,1.27310,2026.08.04 09:05:44,1.27688,-3.50,-2.10,-18.90
50184455,USDJPY,Buy,0.80,2026.08.04 10:31:55,147.220,2026.08.04 16:18:07,147.845,-5.60,-0.90,34.02
50184612,EURUSD,Sell,1.20,2026.08.05 07:48:33,1.09010,2026.08.05 14:22:16,1.08622,-8.40,-1.80,46.56
50184798,XAUUSD,Buy,0.20,2026.08.06 09:15:41,2418.50,2026.08.06 15:40:22,2431.80,-4.00,-0.60,26.60
50184933,GBPJPY,Sell,0.40,2026.08.07 11:02:18,188.420,2026.08.07 17:33:09,189.105,-2.80,-1.40,-18.28
50185104,EURUSD,Buy,1.50,2026.08.10 08:27:50,1.08155,2026.08.10 13:19:04,1.08602,-10.50,-2.25,67.05
50185288,USDJPY,Sell,1.00,2026.08.11 09:44:12,148.010,2026.08.11 15:52:38,147.398,-7.00,-1.10,41.52
50185401,XAUUSD,Buy,0.30,2026.08.12 10:18:27,2405.20,2026.08.12 14:06:55,2396.40,-6.00,-0.90,-26.40
50185577,EURUSD,Sell,0.90,2026.08.13 07:55:03,1.08880,2026.08.13 16:29:41,1.08441,-6.30,-1.35,39.51
50185742,GBPUSD,Buy,0.70,2026.08.14 12:33:16,1.26940,2026.08.14 18:07:22,1.27385,-4.90,-1.05,31.15
50185918,USDCAD,Sell,1.10,2026.08.17 08:09:48,1.36720,2026.08.17 13:44:30,1.37015,-7.70,-1.65,-23.69
50186073,EURUSD,Buy,1.00,2026.08.18 09:21:37,1.08310,2026.08.18 15:12:09,1.08894,-7.00,-1.20,58.40
50186244,XAUUSD,Sell,0.25,2026.08.19 11:40:55,2442.10,2026.08.19 16:55:18,2428.35,-5.00,-0.75,34.38
50186390,GBPJPY,Buy,0.50,2026.08.20 08:52:14,187.640,2026.08.20 14:28:47,188.410,-3.50,-1.75,25.68
50186551,EURUSD,Sell,1.30,2026.08.21 10:06:29,1.09120,2026.08.21 17:41:03,1.09455,-9.10,-1.95,-43.55
50186718,USDJPY,Buy,0.90,2026.08.24 07:38:41,146.880,2026.08.24 12:59:26,147.520,-6.30,-0.99,35.12
50186884,XAUUSD,Buy,0.35,2026.08.25 09:13:52,2389.70,2026.08.25 15:36:14,2408.25,-7.00,-1.05,64.93
50187046,GBPUSD,Sell,0.60,2026.08.26 11:27:08,1.27880,2026.08.26 16:44:51,1.27402,-4.20,-1.20,28.68
50187213,EURUSD,Buy,1.10,2026.08.27 08:41:33,1.08040,2026.08.27 14:18:02,1.07698,-7.70,-1.32,-37.62
50187385,USDCAD,Buy,0.80,2026.08.28 10:55:47,1.36150,2026.08.28 17:22:19,1.36742,-5.60,-1.20,34.68
50187552,XAUUSD,Sell,0.20,2026.08.31 09:04:26,2455.80,2026.08.31 13:48:55,2441.20,-4.00,-0.60,29.20
50187719,EURUSD,Buy,1.40,2026.09.01 08:19:14,1.08225,2026.09.01 15:07:38,1.08761,-9.80,-1.68,75.04
50187886,USDJPY,Sell,1.00,2026.09.02 10:32:09,148.440,2026.09.02 16:51:27,147.905,-7.00,-1.10,36.18
